"","ADXEC.20619.C1_at","ADXECEMUTR.3882_at","ADXEC.7440.C1_s_at","ADXEC.4761.C1_at","ADXEC.3959.C2_s_at","ADXECRS.35702_at","ADXEC.9374.C1_at","ADXEC.19910.C1_at","ADXEC.7373.C1_at","ADXEC.111.CB26_s_at","ADXEC.33090.C1_x_at","ADXEC.10411.C1-a_s_at","ADXECADA.1318_s_at","ADXEC.14363.C1_at","ADXEC.18754.C1_s_at","ADXEC.3431.C1_at","ADXEC.111.C192_s_at","ADXEC.33090.C1_at","ADXEC.2767.C2_s_at","ADXEC.15009.C1_at","ADXECADA.8374_at","ADXEC.2767.C1_s_at","ADXEC.7460.C1_at","ADXEC.7186.C1_at","ADXEC.5981.C1_at","ADXEC.6231.C1_s_at","ADXEC.58.C1_at","ADXEC.2130.C1-a_s_at","ADXEC.181.C1_s_at","ADXEC.13026.C1_at","ADXEC.4174.C1_at","ADXEC.2368.C1_at","ADXEC.1294.C2_at","ADXEC.24770.C1_at","ADXECADA.7125_at","ADXEC.541.C5_x_at","ADXEC.2687.C1-a_s_at","ADXEC.13290.C1_s_at","ADXEC.8520.C1_at","ADXEC.11046.C1_at","ADXECEMUTR.4341_s_at","ADXEC.9408.C1_at","ADXEC.28601.C1_x_at","ADXEC.8486.C1_s_at","ADXEC.15603.C1_s_at","ADXECADA.8405_at","ADXEC.13953.C1_at","ADXEC.3196.C1_s_at","ADXEC.2368.C1_x_at","ADXEC.1526.C1_s_at","ADXEC.15325.C1_at","ADXEC.2631.C1_s_at","ADXEC.111.C13_s_at","ADXECNTDJ.5297_at","ADXEC.1352.C57-a_s_at","ADXEC.11107.C1-a_s_at","ADXEC.2891.C1_s_at","ADXEC.9749.C1_at","ADXEC.28601.C1_at","ADXEC.20685.C1_at","ADXEC.7462.C1_s_at","ADXECAD.8049_at","ADXEC.3238.C1_x_at","3766926_at","ADXEC.13846.C1_at","ADXEC.2717.C2_s_at","ADXEC.18780.C1_x_at","ADXEC.736.C2_at","ADXEC.23322.C1_at","ADXEC.8665.C1_at","ADXEC.2784.C1_s_at","ADXECEMUTR.6415_at","ADXEC.8216.C1_at","ADXEC.541.C2_x_at","ADXEC.26108.C1_s_at","ADXEC.5551.C1_at","ADXEC.27895.C1_at","ADXEC.2478.C2_x_at","ADXEC.30097.C1_x_at","ADXEC.26382.C1_at","ADXECNTDJ.6775_s_at","ADXEC.9344.C1_at","ADXECAD.8933_s_at","ADXEC.27599.C1_at","ADXEC.18780.C1_at","ADXECEMUTR.512_at","ADXEC.18279.C1_s_at","ADXEC.6857.C1_at","ADXECEMUTR.5280_s_at","ADXEC.26392.C1_at","ADXEC.2784.C1_at","ADXEC.11792.C2_s_at","ADXEC.3343.CB1_s_at","ADXECRS.36302_s_at","ADXEC.2121.C1_at","ADXECAD.28433_s_at","ADXECRS.6692_at","ADXECNTDJ.88_s_at","ADXECEMUTR.1413_s_at","2565148_at","ADXEC.22798.C1_at","ADXECAD.17552_s_at","ADXECADA.14824_s_at","ADXECAD.28226_s_at","ADXEC.32873.C1_x_at","ADXECADA.9593_at","ADXECAD.15315_at","ADXECRS.3787_s_at","ADXEC.16721.C1_at","ADXEC.5773.C2_s_at","ADXEC.16672.C1_at","ADXEC.21076.C1_at","ADXECRS.32665_s_at","ADXEC.16491.C1_at","ADXPCEC.8058.C1_at","ADXEC.7267.C1_s_at","ADXEC.18615.C1_at","ADXEC.1504.C4_x_at","ADXECAD.23630_s_at","ADXEC.11284.C2_at","ADXEC.3079.C2_s_at","ADXEC.11284.C2_x_at","ADXEC.3079.CB1_s_at","ADXEC.6920.C1_s_at","ADXECEMUTR.1066_s_at","responsenstage","response"
"SC00552A",4.70603702898493,6.74131225853138,6.66534447790261,6.44953808975359,3.88257222980962,5.8115005358562,10.3751370589785,4.9037075200349,6.1887776968152,5.60321383031797,5.08834464455411,3.06013730559032,2.99009261503646,5.28285154669298,4.37960356099213,4.56132195550345,5.47877209666176,5.62228035225891,5.44701343914979,5.32376228162115,4.74886778963314,7.22708472725136,6.25332333834821,7.34293252129932,4.54688146263608,7.96641440624232,7.04959411366371,2.34618653498074,5.97352128853452,6.15703863071709,7.60603927884586,6.32295253541247,4.19730249250295,4.86532665279132,2.19932157787254,5.44684422873448,10.7830121536476,4.39772201160442,4.43960774987359,6.16443988440785,3.46566835612273,6.44365918886541,4.53273519199687,5.76299065499125,5.85324153660746,4.6173516776631,6.37837511682617,4.59719755394605,7.06972695111043,9.33471662967282,3.79773730009535,4.1168585053046,7.16516946857063,7.08708964040716,6.7785145961686,7.53730977366655,4.43369689335271,7.04606958677437,4.47027922010773,4.59164838145002,1.75472514315534,6.3754985339247,6.37730457272658,6.11589053490098,7.13836190404623,6.10772374464975,7.04575184619673,6.81000844045912,5.5576505425378,4.79512287070589,7.45668475889163,6.23381639372222,3.69972502059088,6.31948600147454,3.85879559932316,9.67668997438857,5.99465900372917,8.38844701556863,6.15870481726783,3.11160431055215,5.16830350114458,5.15388120370414,4.381536675231,5.01967320581448,7.49321050807242,12.027001076362,6.58122260850518,2.8788242865134,6.97873108893495,3.51043183186646,7.70281480960977,3.29098512492459,6.5305108071556,4.65683089066563,3.74149834863168,10.7913401541955,5.98936488757941,8.97107550932595,7.09085321861267,5.78001476083067,4.26980433185175,9.47918072633877,5.50249242530933,6.34631640709008,3.58675594260873,1.58911026300031,6.76232126816286,7.57783313980416,5.29843634986372,9.06638292521018,7.39299772227675,5.2626746448653,4.73353473959222,6.89320057665204,4.41903352682091,6.03864526215352,9.92425608487952,6.82839274623045,6.46239763201388,6.80387252049504,2.28086866315295,5.82531682657736,4.13265000765248,3.09402355831064,3.30004723646613,"Block3","responder"
"SC00553A",5.34721404808698,7.20633169104321,7.09187083662385,5.9761554993054,3.83048714877365,6.35108009658765,10.2208550371756,4.54492910633583,6.25352678089242,3.69162417712166,5.57589604757438,4.77156762381968,2.99362455909802,4.05111553910983,5.69358600291252,4.45030655771372,5.15225558415542,6.07586900314139,5.18204511010165,3.04505178269762,4.23979179728217,6.85587514021348,5.57520746511261,5.98774350299363,5.03102882442701,6.60758707229593,5.94283368416958,2.63501143610748,5.08374198598657,6.74206750676949,6.48748395805165,6.90879602937882,5.43052944685482,5.90647059977717,3.79878555103288,6.68821337867198,10.1971180248835,4.45080386339989,5.62534970605743,5.81474858787206,3.89816218183998,5.36689152952294,4.63577754715486,6.44585158608899,6.98664628803,4.90000588857136,7.66153978990041,3.82363812956659,6.99973462447899,10.4114889066207,3.89455693555149,3.1455084706872,6.92085803873233,5.95797279607554,5.08428863821579,7.09949842376689,4.39349920371683,5.38581914395765,4.7185491866992,3.18703882853879,3.12540823095752,6.49062839544007,6.95842907718395,6.70937509563507,6.74190425125669,6.02151510530857,6.41385561522742,6.14938013764436,5.22079719693006,5.55986093367924,6.2455736707857,7.84275212697181,5.34972940320811,7.53140180003448,5.04879470187776,10.0578012120596,4.26264914371508,6.47526818525551,6.46550529283197,2.97095410595452,3.55506073344317,5.03562026575337,5.87147219913825,5.72523622329237,6.70009914204147,10.9033821557396,7.05223505755344,3.6385596348784,8.1164835472485,3.40615322612974,7.06797885637307,3.95895661049814,5.38235467658488,4.02235668263128,5.44819583384364,11.0842811438341,4.19340843776264,7.37804343992981,8.23069548084217,4.15166240070463,5.22849917747591,10.6643865595232,6.80434500272777,6.38740437704704,2.90592022519043,4.91147187135529,5.08673879458287,8.16387775469889,5.70561062472775,5.7189639866482,7.34468138643897,5.20212923602577,6.14324638427096,5.88286578832026,5.30977864029142,5.49223727030563,9.22653823278071,8.32481475607202,8.00887586162745,10.2350130916277,2.00099836342315,8.74302097527274,3.6652949861632,3.3082633324705,3.80169453468021,"Block1","responder"
"SC00554A",4.9722507738387,5.84460172567621,5.78036921231028,6.15717303040998,3.63739827990583,5.49672339135615,10.9790796831052,4.99002006049858,5.46111050051724,2.48473151456561,4.73798283848538,4.493745402622,3.54399338070003,4.18801556058494,5.05012257937595,3.13772879039093,4.14893493126539,4.85913852201485,5.11375621922922,4.13671745246267,4.11775241705946,6.71392607382891,4.98552941909922,5.74322984157781,4.31120006215841,6.69718436875524,6.21813967712254,2.11990128242024,4.68993202790579,5.59520100533444,5.05508695587013,5.93180540416458,4.24255798155579,6.26770574207566,4.33904450817461,5.75257949539481,9.47787607705429,2.62598210443615,4.78595705990084,6.04965493261975,2.514359438519,5.38278124403813,5.14872122539682,5.28322098834511,6.41212647946663,4.66582550883106,7.11488665995835,4.85805747476468,6.30355767942696,10.6813013310981,4.52250150597509,2.61704782668871,5.45654031064338,6.14263920121852,5.43240586222313,7.1090579435747,4.78634009752534,4.34344128098744,4.77059226181013,4.27387468810877,2.13700312643333,7.06000259212353,5.56206824381223,6.75199587518509,8.11657035846149,6.10169757952742,6.06659266902197,5.3724657874454,3.85647016627985,5.30593794819034,5.13742854368331,6.43966939189192,4.9057694393267,6.46722568285871,2.84991460833256,8.79437879353927,4.05319168927104,5.00358143933194,6.74150306626647,3.17719562673607,3.89196282614561,4.38789528053926,5.95782949843468,4.92331266837094,6.58044394840759,11.6349151889528,6.49336475950239,3.52516538512429,6.72446114310795,3.31679591461434,7.22086576354712,4.9995930370142,5.08227673994961,3.1653502613405,4.37454079734961,11.5023852211849,4.55251113174699,5.26594623400506,8.5858743966919,3.39440080709938,5.46930837934298,10.2305259088122,6.56566813843677,7.42820250156203,2.13968137607476,3.74517564774941,4.48579785715512,8.1514813048413,5.18883866170497,4.57215878799443,7.52919084720487,5.03286763287424,6.19116452411444,5.53008580374435,4.59404137717837,4.75833380928354,9.95305033253565,9.99631057645832,9.31720540937064,8.0077192222569,3.49612209397311,6.55344239891476,7.72794679228134,4.12654586167904,3.22346046004827,"Block1","responder"
"SC00557A",6.52029185680491,6.43511494675631,5.91263842548829,5.88923298063391,4.09755823232256,5.79656899731541,9.41195760565694,4.84616493262201,6.3651474609209,3.906086474906,5.38565676182977,4.94819511025983,3.92618800796455,4.16305498239148,5.28261541875268,3.09258435838892,4.65723909631989,5.65875770157242,5.00620339516641,3.54859928090643,6.35768683312919,6.59575016866853,5.05752733190624,6.71496485173117,3.58817732080431,5.93211666732569,4.45508737701296,2.05795478822896,5.41219899968655,5.550364805737,5.24396091586069,6.36290161117773,3.60456058793639,8.27646564283636,4.27025691593512,6.73240926049198,9.15674542795476,3.04919876903849,6.91473290827705,4.81409043581261,4.35000941318357,5.56068354369331,4.2224422473281,6.09563594494153,7.17311492687305,6.40774673509974,6.98210565961955,4.93764066401366,6.78041342765073,9.58702520383298,3.45236425081947,3.03208665272733,6.58118535673312,5.44095671147383,5.41529850137204,7.47792247978316,4.05091124385356,4.16650943625607,4.05510683768424,4.56226577892365,2.05136900323375,6.03093545706253,3.95599037762364,6.43287466737279,4.02925405651037,5.4793134400501,4.77615647717636,5.22179785375157,5.08767070384858,5.29817854235165,7.35876399209762,6.92280161977284,5.23233948392462,8.0211308051327,2.53918140325079,8.5794907674962,4.10735278345447,5.62901787210345,8.23263065014667,2.50812479816381,4.35956633333383,2.92838958905048,4.72612352620125,6.05769812343618,4.8976390754305,7.38838514130816,7.27320535152692,2.98015785852505,7.55121367666888,5.07706070121562,7.8570386196596,5.43287147251414,6.19861130298347,3.98719200950303,3.68814369672715,12.9358123219005,2.99455936080456,7.44314317700299,10.1673849471661,2.80748569216441,5.60681227129871,11.126908774202,6.50535929472824,7.0965216298229,3.74072207330693,2.25032834084897,4.75198436566532,8.51892827419128,4.07414142030887,6.51451297986355,6.82525320132548,5.42205186078291,7.13436033247475,3.21635703975564,6.17067752209955,2.34046468193994,10.1731656378041,10.079016887227,7.75512492709272,9.24753263947771,6.58518113633736,7.96001256960613,10.8201398282009,9.05601500372011,4.18056758721615,"Block2","responder"
"SC00558A",5.66104122572925,6.29904386505602,5.31335806335003,4.84061941829002,3.50569157339625,5.754152660448,8.73746267191695,4.31996412715352,3.40397182547462,2.84083030095427,5.46578882654429,2.96329384490859,2.82173875334891,3.7326898367922,3.89240239888033,3.36358410508628,3.74821863023333,5.57688488665488,4.04965515243448,4.44848405296615,7.00757013578115,5.6078457607981,3.86849672986748,6.36208505376684,4.06403216325215,5.52374941723385,3.53968485839631,2.2019731213303,4.06015961497166,5.85381101724215,5.11197875889371,6.54452712614314,3.25881507702598,5.20108751359375,3.14189092028926,6.96391636767943,9.06460118778947,2.48625966765063,5.94397250698434,4.28434147753857,2.87934389058888,5.13417735731914,3.19096949308729,4.26393584743713,7.08172808431983,7.22431824144679,7.15761522389023,4.18759052583955,6.63828844208781,8.25870895456297,4.97381542687211,2.88440194900887,6.04509424387144,6.27055098733439,6.20265726577034,6.37746162269302,3.7132713752987,5.49097024186501,3.57960078166968,4.61533063598835,1.7945011184644,2.93396479379365,4.75963201305332,5.85074211072707,5.28211626486886,2.93744335085944,2.66471516808829,5.07721738246762,4.10135567066067,5.73707470804955,4.49358233960803,9.79095265055856,3.7135773453589,8.63643913672958,1.85995618216838,8.45399468279188,3.81164995805959,4.60102242049814,7.56381643488686,2.89554527049534,3.23805935629605,3.4925569788613,5.12443477204167,4.60345231314574,2.24694299516772,4.97230613737557,6.58413003927578,0.985786630655603,9.84054706696332,5.7456798408833,5.25973956734986,5.20296966886507,5.80567773535578,4.46224764463366,4.93046750629019,12.2519167243691,3.48709304791034,6.21485185760287,5.75197045311762,3.17134833943528,5.80006198917826,7.60610303698382,6.42466813591738,4.35838382155658,2.80920114350824,4.68179936396219,6.02576802198292,8.31578085207555,5.54488633011688,1.87425016678165,5.34533883991848,5.14305701606526,5.06640372270733,3.83819830356487,3.296715420676,5.85010484383205,6.96500548052536,7.36376052476385,5.34470494367054,8.74008083940517,8.14771194942305,7.29651652767008,11.0076828364657,6.63803200604954,2.95752177081693,"Block3","responder"
"SC00559A",5.59286837282766,6.77978709224026,6.63528301259826,5.89981011359383,3.76265514745102,5.69525410694175,10.0019731257231,5.26032016619938,6.56509186953084,4.42851731070876,5.56108096269128,4.83913768324852,3.40502946532605,5.89015707856257,5.31025120171807,3.78825170579444,4.6334356305714,6.22658629845237,4.79028800242865,3.98154398565089,5.48508629062194,6.513808117676,5.56721255939448,6.87052811092737,4.69977679397923,7.63327585587788,6.53079568773516,2.73455607651327,4.70659852355362,6.28017060949604,6.50765121184128,8.2924735920746,4.85001815578321,4.70043581785295,3.02323109962534,5.22872281778117,8.40999195783868,4.05684239249378,5.84099694192691,5.38792159328024,3.31088674237927,5.74423234983558,4.7882014042323,6.4485216312257,6.56041638995802,5.68535471277667,5.54932456974089,5.43220051896501,8.23382323396314,10.0048852723462,4.74272614585526,3.10600450262443,6.82402727257679,6.49974269108122,6.62125427707749,6.67142042868726,4.09334088839805,6.03568221456212,4.45808937335179,4.83165584553369,2.86460159612694,7.27223101422003,4.32568073133619,6.27431599033286,7.73918438161387,6.1777577209704,6.62325701650761,6.27878839481312,5.48560182477661,5.57398965093444,5.61700189231866,6.74661832697329,4.19400935422043,7.12060221448291,4.28562994723123,8.61116347274888,4.4261905341266,6.14283492674673,7.13586247701525,4.16190916601764,4.24754140130077,5.02345067945179,4.11621199967186,7.60106139365057,6.78736720218473,10.8130846479293,6.12459571976117,3.93947363173684,7.75437239602107,4.83415897174024,5.94471550750284,5.80653182856401,6.37115633376539,4.9072039276926,4.33506027678275,11.8369457899232,2.57456849024957,7.24236039537383,5.98823935538438,3.08258577044847,4.53298176440995,8.96483253438653,6.12887162645057,6.77735523368423,2.99138645457528,2.71643939395313,5.10681400009673,7.03322812331568,3.23228453792264,5.35684356197227,8.22451601629001,5.19429895191977,8.24990625411144,5.77664613198415,6.66643153685503,5.967146469897,11.29792864903,8.37185882388641,8.15451130874866,11.313009336271,2.59286420514237,9.95315495277021,9.06981862086825,5.93809625062215,4.87732599554083,"Block4","nonresponder"
"SC00560A",4.43290943311828,6.27343787289659,6.35275428576739,5.40056654354913,3.02240871916528,5.76427906685839,8.68416648955505,4.84959143978389,5.22269770215975,2.5401541431049,5.61307034310095,3.08831281283265,3.69416758445903,5.31034722774553,4.77351672428537,3.76272827435181,3.92767106936238,5.91031041986981,4.84096791946313,4.03791330958033,5.46316996182367,6.18476349738588,3.81000329653587,7.20870481098986,3.47436237532576,6.92384577278955,3.39367247073967,3.21579679753003,3.03603706631057,5.09278604255891,5.87951864495274,6.4337811359311,3.33641253121421,4.25356961721428,2.99243402742083,7.54042344887889,8.13836686427737,2.96582344202818,6.06239301024666,5.48934468009022,3.19911856345159,3.91483245527426,4.73987401578677,5.80470490136928,5.94022860668,5.66411348621993,4.80562229050296,4.00894416760489,6.77958368813125,8.25031466806505,4.34265501125418,2.27169706555771,5.28460565855911,7.32822558949437,6.44668206564422,5.66915365981593,4.49206003765123,3.27676316301678,4.93853812869473,3.75340148807965,3.58920392361,2.94708656723437,5.56187817759895,6.08268507409335,5.45284022669497,5.45460887132883,5.29860825489292,5.22603362596883,4.51662462938207,4.71807135143714,8.65340589606271,8.92428948665886,4.455303604174,9.54608842540433,2.44274386077307,6.89786731917754,4.09619768969096,4.94008032500074,5.99035793910103,3.7421485651044,3.1773119113609,5.4644512358023,5.26795285883807,3.83922339167138,4.99034492412003,4.96640957933253,6.4205762422287,1.81227686340399,9.21599411966294,3.64506941933833,9.05541291652879,4.08439726169248,6.62231902771968,4.39199309683832,3.79953256670746,10.3564496032291,2.30012341861319,4.10756739874979,8.28210478453101,2.87878017374368,5.01310083125555,9.8556495646119,6.11370138476178,5.84372736947967,4.90629129096002,4.00681753527762,5.74781367460084,8.02264519285053,3.64723430765678,2.30299869009999,8.16147313325641,4.60465211365923,5.86310904828499,4.18821502026677,4.82845888397522,4.56378796429985,10.1742422734868,7.23442969458434,5.95871618109748,9.38259973598532,8.19864858302479,7.81991584994173,10.7332825177891,8.7355063146945,4.2448762478267,"Block4","responder"
"SC00561A",5.17400774815553,7.23517147222382,6.88405723197094,5.11979525580523,5.29469088475181,4.71575640923631,11.3541490745732,5.44672532155944,6.0753964083754,4.64036983110878,4.3063702766918,4.80895993902798,3.36765772104202,5.29526286034087,4.90447408518819,5.55945404798926,4.07442872687652,5.19976184137804,5.21147376304069,6.18604701036801,4.22274380866834,6.76723063458371,6.16090285898343,6.92843104262974,5.27508117573354,8.01387825384356,4.93324837403509,2.02361147684172,2.96059662684041,5.42498978693791,6.04163047469529,8.29004836936118,4.44438356881729,4.93835062372325,3.76961494535502,5.06849252941933,9.11461325292811,3.05829247962508,6.52320597954495,7.07390157640538,4.04158242793766,5.8499234701737,5.14807143409168,5.33758655962082,6.46338972572241,5.06398191308324,9.73599501947935,6.3087115734025,8.19438512056227,8.24494179124962,6.3637542372927,2.04767412757646,2.63171211175263,7.06848232921668,7.12685635120582,6.78741633978591,4.48644541022129,6.4584126511795,4.74371619819252,4.23499147359455,4.47000293978742,2.34307352929029,4.4769574286852,6.04579536116228,9.91187988639396,3.61923215739613,7.07374591632733,4.34103569943017,5.59427076076509,5.41750613859338,6.85604173277378,8.72244910825795,5.39786375984436,5.88201057162683,3.97923778807936,9.37826058214428,5.47968989499872,5.86957307318292,6.04636410868854,3.83641978185138,4.09140376955088,5.714970998702,4.78312633928993,3.83664672558465,7.32871104128098,6.89631373761406,7.99012993063721,2.02017041386947,8.13671974366373,4.57595772158178,7.70268281889552,5.80293726648002,7.06659907394247,5.13727181724376,4.67319570664431,10.3026142136851,3.75588478932761,8.2514629666705,6.83408838125078,3.43357391117442,6.63756080348286,10.5969716612065,6.44379459811296,5.60916971221411,3.22112850762589,1.84758670904913,5.62489551418652,8.35903702620905,8.61897806620101,5.72581809391377,8.55718835794341,5.31801823800923,4.59214416944662,5.49772793718988,2.89319852461247,5.48715605255394,11.0041463960943,9.77902541780444,5.77982475847955,10.732317580757,2.25513130138155,9.16179216630461,5.98073719069632,7.13344458138628,4.47604507553525,"Block4","nonresponder"
"SC00562A",6.55174282419687,6.9607355341202,7.00037380619582,6.75693411718745,4.71520683787928,6.87031142180569,10.3776491322607,5.60876249622915,7.12035773839933,4.75600986888181,6.01112704807949,4.8912110145538,3.07733829834048,4.99171413906217,6.38412216699326,4.92461038423435,5.40635937890816,6.41878832591683,6.61167606729861,4.58645486694293,4.95433914855811,8.17600688350706,6.15975929273388,8.07815777234482,5.69989850606292,7.28400802010497,6.49205270808671,3.99953200918881,5.14485362355047,6.85669836586172,6.19951971645454,8.49404382299052,5.48305746859153,6.84027256150469,4.04292797940152,5.27711284570158,9.70387686646751,5.37041766937272,5.91414693245429,6.04913109238764,5.35459186554341,5.96972185750912,5.86589867198543,6.93963561953206,7.20634282480346,5.72048646650555,7.84141868175671,6.19241548810641,8.53898021623814,10.4925378471545,5.46683550841827,3.47080395849172,6.58426965072564,5.59701257153596,6.43528090064106,7.27603554569155,3.95390337771678,6.23977233837064,5.63977417235726,4.61754190253814,3.24490949163441,5.29081948013587,5.85017766619596,5.59975503807369,7.32014439254519,6.80704666549847,6.68555129430213,4.93864678161028,5.61906830502653,6.58522159759327,7.29706720011369,6.76836485001585,4.17332553273195,6.58661936385317,4.67508460003201,9.67507621725122,6.63476346164488,7.75440373055551,6.35415032740907,4.8658047688289,4.58130300523121,5.70852387502394,4.70753325661011,6.3688855005746,6.77324322764012,11.1193569540637,7.3694053393308,3.28897343539619,7.10240692888415,4.29148150584424,8.2842843129936,5.50430039383116,5.59507621776897,3.09192707681102,6.04607715484781,11.0050439585352,6.25628505190562,7.92901784405688,6.90192540443248,2.46805230241005,6.27486259415158,8.13810020932623,7.05825626009399,4.81758574134176,1.66386558995713,6.00312463926684,7.44627321998471,7.78886917242091,4.34225477663877,8.31855146463079,6.92596245095194,5.68498008441265,5.03866423825083,7.10225368956965,5.4311523411062,4.3230784546111,8.43236814606514,7.85048532669495,8.61064111045693,8.80864999494106,2.19987589043409,7.29913148467857,3.44387405330303,6.45141899910735,5.20026678606321,"Block2","nonresponder"
"SC00565A",5.43211512722643,6.42879800008675,6.01346367122243,6.35868833636284,4.06558426359726,7.13115834707569,9.41691320937254,5.52102791177729,5.95411688303342,4.10527453251768,5.6258228696396,4.27667337237707,3.33760476240107,4.98249286052372,6.28732167598942,3.72026602484015,5.26082742348152,6.15325951263699,6.03427929066565,3.94292510055304,3.76295261907138,7.67328593128955,5.72561304905128,7.46101384701735,5.10864795341847,6.96525336282469,5.58837089570867,2.68122935853236,5.78939725000581,5.96786417375872,6.4288905666889,7.27064083032555,4.35524800739417,4.7136919648808,3.7987659230857,5.94244454664601,9.22097427611452,4.30615684957406,5.54337206827929,5.55263766582648,3.98568401369112,5.01420624489209,5.05337183807329,5.62594446633972,6.88010745924478,5.16908978049659,4.56509393495798,5.06003253759758,7.40226782246961,9.64083978691042,4.53097240141547,3.9015997058166,6.54816944594215,5.77881869733412,6.17780141046575,6.80713641993666,5.04601264429136,5.8647828587685,5.06858249200447,4.71272528694726,3.87476292875895,6.48872409742965,5.64485068180856,5.71670541540827,5.9482646794617,5.92786880132582,6.71278441474872,4.98565727054565,5.50346427327598,6.62419694737303,6.93336848944931,8.11752952836117,4.40185723953578,6.54150326453883,4.86487695186272,8.86914342540289,3.96108264847943,6.47033904230739,6.35128757523333,3.10462984261685,4.31481178867229,4.82425581711439,4.51060889027588,6.96676401285253,6.87701479441953,11.7908023029859,5.57477361638013,4.37344685953313,8.54960737004288,5.29936020471277,7.15632847627526,4.95018636247219,6.63748767159249,4.22126544338271,4.41791344097355,11.0499269815855,5.44324078084592,7.73926036285328,8.22800204181697,2.85887061003145,5.03332006008672,10.1765053777379,4.74134267092357,6.73218937810172,5.02255925487711,3.30887633970179,5.23666484846344,6.32165173474834,5.35996088480066,7.07357076462812,6.08583616275716,4.81497891893558,6.42892521387577,5.67217898166452,5.70979224823113,4.26766697380149,11.087545769011,7.33096081420615,8.27594620242226,11.3434886582272,2.1767595362761,9.8219667011799,6.87495424837446,3.18058521892326,5.01718683195445,"Block3","responder"
